id,category,title,content
E001,배송,배송이 늦어질 때 안내,"물량 증가/기상 이슈/지역 상황에 따라 배송이 지연될 수 있습니다. 일반적으로 출고 후 1~3영업일 내 도착하지만 변동될 수 있어요. 주문번호가 있으면 더 정확히 확인 안내가 가능합니다."
E002,배송,송장번호가 조회되지 않을 때,"송장 등록은 출고 후 시스템 반영까지 시간이 걸릴 수 있습니다. 보통 당일~익일 반영되는 경우가 많아요. 주문번호/출고일 정보를 알려주시면 안내가 더 정확합니다."
E003,배송,배송지 변경 가능 여부,"상품이 출고 전이면 배송지 변경이 가능한 경우가 있습니다. 출고 이후에는 택배사 이동으로 변경이 제한될 수 있어요. 주문번호와 변경할 주소를 알려주시면 가능 여부를 확인할 수 있습니다."
E004,배송,부분 배송(따로 오는 경우) 안내,"상품별 출고지나 재고 상황에 따라 주문 상품이 나뉘어 발송될 수 있습니다. 일부 상품이 먼저 도착하고 나머지가 이후 도착할 수 있어요. 주문번호로 발송 상태를 확인하면 가장 정확합니다."
E005,배송,배송 중 파손/분실 시 안내,"배송 중 파손/분실은 택배사 확인 절차가 필요한 경우가 있습니다. 사진/개봉 영상 등 증빙이 있으면 처리에 도움이 됩니다. 주문번호와 문제 상황(파손/분실)을 알려주세요."
E006,배송,해외배송/도서산간 배송 안내,"해외/도서산간 지역은 운송 과정이 길어 추가 시간이 소요될 수 있습니다. 통관/현지 배송 상황에 따라 변동될 수 있어요. 지역과 주문번호를 알려주시면 더 정확히 안내 가능합니다."
E007,교환/환불,환불 처리 기간,"결제수단에 따라 환불 반영까지 2~7영업일이 소요될 수 있습니다. 카드 결제는 카드사 승인 취소 반영 시점에 따라 차이가 있어요. 주문번호/결제수단을 알려주시면 확인에 도움이 됩니다."
E008,교환/환불,단순 변심 반품 가능 조건,"일반적으로 수령 후 7일 이내 신청하는 경우가 많습니다. 사용 흔적/훼손/라벨 제거 등 상품 가치가 감소하면 제한될 수 있어요. 수령일과 상품 상태를 알려주시면 안내가 정확합니다."
E009,교환/환불,불량/오배송 반품 안내,"불량/오배송은 사진 등 증빙이 있으면 확인이 빠릅니다. 확인 후 교환 또는 환불로 처리되는 경우가 많아요. 주문번호와 문제 부위 사진을 함께 보내주세요."
E010,교환/환불,반품 배송비 안내(일반),"단순 변심의 경우 반품 배송비는 고객 부담인 경우가 많습니다. 다만 판매자 정책에 따라 달라질 수 있어요. 주문번호와 반품 사유를 알려주시면 안내가 정확합니다."
E011,교환/환불,교환 진행 절차(일반),"교환은 보통 ‘교환 신청 → 회수 → 검수 → 재발송’ 순으로 진행됩니다. 재고 상황에 따라 대체 안내가 필요할 수 있어요. 교환 원하시는 옵션(색상/사이즈)을 알려주세요."
E012,교환/환불,환불 금액이 다를 때,"부분 취소/쿠폰/포인트/배송비 정책에 따라 환불 금액이 달라질 수 있습니다. 할인 적용 구조에 따라 차이가 생겨요. 결제 내역/주문번호를 알려주시면 확인에 도움이 됩니다."
E013,주문/결제,결제 실패 원인,"한도 초과/인증 실패/네트워크 문제/브라우저 캐시 등으로 결제가 실패할 수 있습니다. 다른 결제수단 시도 또는 캐시 삭제 후 재시도를 권장합니다. 오류 메시지가 있으면 함께 알려주세요."
E014,주문/결제,주문이 중복으로 된 것 같아요,"네트워크 지연으로 결제는 되었는데 화면이 멈추면 중복 주문처럼 보일 수 있습니다. 결제 내역/주문 목록을 함께 확인하는 것이 정확해요. 주문번호 또는 결제 승인 내역을 알려주세요."
E015,주문/결제,현금영수증/세금 관련 문의,"현금영수증/세금계산서는 결제 방식과 발행 정책에 따라 처리됩니다. 일반적으로 결제 단계에서 신청하거나 고객센터에서 요청합니다. 결제수단과 필요한 서류 유형을 알려주세요."
E016,주문/결제,결제 취소가 반영되지 않아요,"결제 취소는 PG/카드사 반영까지 시간이 소요될 수 있습니다. 보통 2~7영업일 내 반영되는 경우가 많아요. 결제수단과 취소 시점을 알려주시면 확인에 도움이 됩니다."
E017,쿠폰/포인트,쿠폰이 적용이 안돼요,"쿠폰은 사용 기간/최소 구매금액/대상 상품/중복 사용 제한 조건이 있을 수 있습니다. 장바구니 단계에서 조건 충족 여부를 확인해야 적용됩니다. 쿠폰명과 장바구니 금액을 알려주시면 안내가 정확합니다."
E018,쿠폰/포인트,포인트 적립은 언제 돼요,"포인트는 구매 확정 이후 적립되는 구조가 일반적입니다. 반품/취소가 발생하면 적립이 보류되거나 회수될 수 있어요. 주문번호와 구매 확정 여부를 알려주세요."
E019,쿠폰/포인트,쿠폰/포인트 동시 사용 가능?,"정책에 따라 쿠폰과 포인트 동시 사용이 제한될 수 있습니다. 프로모션 종류에 따라 예외가 있어요. 사용하려는 쿠폰명/포인트 사용 금액을 알려주시면 확인에 도움이 됩니다."
E020,회원/로그인,로그인이 안돼요,"비밀번호 재설정, 쿠키/캐시 삭제, 앱 재설치로 해결되는 경우가 많습니다. 동일 증상이 지속되면 계정 상태 확인이 필요할 수 있어요. 사용 환경(앱/웹, 기기)을 알려주세요."
E021,회원/로그인,비밀번호를 잊었어요,"일반적으로 ‘비밀번호 재설정’ 기능을 통해 본인 인증 후 변경할 수 있습니다. 인증 메일/문자가 지연될 수 있어요. 사용 이메일/휴대폰 정보 확인이 필요할 수 있습니다."
E022,상품 문의,사이즈 문의 응대,"사이즈는 상품 상세의 표기(가슴/총장/허리 등) 기준으로 안내하는 것이 일반적입니다. 측정 방법에 따라 1~3cm 오차가 발생할 수 있어요. 원하시는 사이즈와 키/체중을 알려주시면 참고 안내가 가능합니다."
E023,상품 문의,재고/입고 문의,"재고는 주문량과 입고 일정에 따라 수시로 변동됩니다. 정확한 입고일은 확정 전 안내가 어려울 수 있어요. 원하는 옵션(색상/사이즈)을 알려주시면 확인에 도움이 됩니다."
E024,기타(상담필요),상담 연결 안내,"정확한 확인이 필요한 문의입니다. 주문정보/정책 확인 후 안내가 가장 정확합니다. 주문번호와 상황을 남겨주시면 상담으로 빠르게 도와드릴게요."
