id,category,title,content
I001,배송,당일배송 정책(우리 쇼핑몰),"평일 오후 2시 이전 주문 건은 당일 출고됩니다. 서울/수도권 기준 익일 도착이 원칙이나, 제주/도서산간은 2~3일 소요됩니다. 주말/공휴일 주문은 다음 영업일 출고됩니다."
I002,배송,무료배송 기준(우리 쇼핑몰),"5만원 이상 구매 시 무료배송입니다. 5만원 미만 시 배송비 3,000원이 부과됩니다. 도서산간 지역은 추가 배송비 5,000원이 발생할 수 있습니다."
I003,교환/환불,교환/환불 정책(우리 쇼핑몰),"상품 수령 후 7일 이내 교환/환불 신청 가능합니다. 단, 착용/세탁/택 제거 등 재판매 불가 시 교환/환불이 제한됩니다. 불량품은 수령 후 30일 이내 무상 교환/환불 가능합니다."
I004,교환/환불,환불 처리 기간(우리 쇼핑몰),"반품 상품 도착 후 3영업일 내 검수 완료 후 환불 진행됩니다. 카드 결제는 3~5영업일, 계좌이체는 2~3영업일 내 입금됩니다. 영업일은 주말/공휴일을 제외합니다."
I005,교환/환불,반품 배송비(우리 쇼핑몰),"단순 변심: 왕복 배송비 6,000원 고객 부담. 불량/오배송: 배송비 무료(당사 부담). 교환 시 추가 배송비 없음(편도만 부담)."
I006,주문/결제,우리 쇼핑몰 결제 수단,"신용카드, 실시간 계좌이체, 무통장입금, 카카오페이, 네이버페이 지원합니다. 할부는 5만원 이상 구매 시 2~12개월 가능합니다."
I007,쿠폰/포인트,신규회원 쿠폰(우리 쇼핑몰),"신규 가입 시 즉시 5,000원 쿠폰이 발급됩니다. 유효기간은 발급일로부터 30일이며, 3만원 이상 구매 시 사용 가능합니다. 일부 상품(세일/아울렛)은 제외될 수 있습니다."
I008,쿠폰/포인트,적립금 정책(우리 쇼핑몰),"구매 금액의 1%가 적립금으로 적립됩니다. 구매 확정 후 7일 이내 적립되며, 1년간 유효합니다. 1,000원 이상부터 1,000원 단위로 사용 가능합니다."
I009,회원/로그인,회원 등급 혜택(우리 쇼핑몰),"일반회원(0~30만원): 1% 적립, VIP(30~100만원): 2% 적립 + 무료배송쿠폰 월 1회, VVIP(100만원 이상): 3% 적립 + 무료배송쿠폰 월 2회 + 시즌특가 우선 안내. 등급은 최근 6개월 구매금액 기준입니다."
I010,상품 문의,우리 쇼핑몰 사이즈 교환 정책,"미착용 상태에서 1회 무료 사이즈 교환 가능합니다. 교환 배송비는 당사 부담이며, 반품 후 재구매가 아닌 직접 교환으로 진행됩니다. 단, 재고 소진 시 환불로 처리될 수 있습니다."
